employee_id,attendance_date,check_in_time_1,check_out_time_1,check_in_time_2,check_out_time_2
testprod-001,03/08/2022,03/08/2022 9:30 AM,03/08/2022 6:00 PM,,
testprod-001,05/08/2022,05/08/2022 9:30 AM,05/08/2022 6:00 PM,,
testprod-001,06/08/2022,06/08/2022 9:30 AM,06/08/2022 6:00 PM,,
testprod-001,09/08/2022,09/08/2022 9:30 AM,09/08/2022 6:00 PM,,
testprod-001,10/08/2022,10/08/2022 9:30 AM,10/08/2022 6:00 PM,,
testprod-001,11/08/2022,11/08/2022 9:30 AM,11/08/2022 6:00 PM,,
testprod-001,12/08/2022,12/08/2022 9:30 AM,12/08/2022 6:00 PM,,
testprod-001,13/08/2022,13/08/2022 9:30 AM,13/08/2022 6:00 PM,,
testprod-001,17/08/2022,17/08/2022 8:30 AM,17/08/2022 6:00 PM,,
testprod-001,18/08/2022,18/08/2022 8:00 AM,18/08/2022 6:00 PM,,
testprod-001,19/08/2022,19/08/2022 8:46 AM,19/08/2022 3:54 PM,,
testprod-001,20/08/2022,20/08/2022 9:30 AM,20/08/2022 6:00 PM,,
testprod-001,23/08/2022,23/08/2022 9:30 AM,23/08/2022 6:00 PM,,
testprod-001,24/08/2022,24/08/2022 9:30 AM,24/08/2022 6:00 PM,,
testprod-001,25/08/2022,25/08/2022 9:30 AM,25/08/2022 6:00 PM,,
testprod-001,26/08/2022,26/08/2022 9:30 AM,26/08/2022 6:00 PM,,
testprod-001,27/08/2022,27/08/2022 9:30 AM,27/08/2022 6:00 PM,,
testprod-001,31/08/2022,31/08/2022 9:30 AM,31/08/2022 6:00 PM,,
